model,dataset_size,dataset,fold,carte_lr_idx,test_score,best_val_loss,Created
CARTE 🗺️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,2,2.0,0.9131246731904086,"[-0.8333333333333334,-0.8925680912810714,-0.8627268958307046,-0.8513468043813953,-0.8082298369895031]",2025-04-25T23:19:43.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,1,2.0,0.9036677373571376,"[-0.8762400033647577,-0.8426194639219857,-0.8462335742740235,-0.8657161225973526,-0.8331440657089124]",2025-04-25T23:18:46.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,0,2.0,0.9253305445581534,"[-0.8762520203567845,-0.8551411696138339,-0.8697988956384327,-0.8880557107750359,-0.8074547410037793]",2025-04-25T23:17:28.000Z
CARTE 🗺️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,3,1.0,0.7584864196284441,"[-0.7271131277084351,-0.7166361808776855,-0.7186193466186523,-0.7331501841545105,-0.7416524291038513]",2025-04-25T22:48:55.000Z
CARTE 🗺️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,2,1.0,0.7362739218846466,"[-0.7230843901634216,-0.7266032099723816,-0.7380771636962891,-0.715923011302948,-0.7098404765129089]",2025-04-25T22:48:44.000Z
CARTE 🗺️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,1,1.0,0.7731451733978999,"[-0.7246090173721313,-0.7081636786460876,-0.7286114692687988,-0.7390791177749634,-0.7326339483261108]",2025-04-25T22:48:26.000Z
CARTE 🗺️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,0,1.0,0.7666846085492475,"[-0.7312803268432617,-0.7306379675865173,-0.7119607925415039,-0.7345063090324402,-0.7094618082046509]",2025-04-25T22:48:11.000Z
CARTE 🗺️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,1.0,0.8265652224381285,"[-0.7997254729270935,-0.8066002726554871,-0.7980915307998657,-0.7937670946121216,-0.7985019683837891]",2025-04-25T22:16:24.000Z
CARTE 🗺️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,2,1.0,0.829691477085643,"[-0.8103513121604919,-0.8012228012084961,-0.7912344932556152,-0.7990490198135376,-0.8048798441886902]",2025-04-25T22:15:31.000Z
CARTE 🗺️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,1,1.0,0.8241079829065362,"[-0.8086897730827332,-0.8051470518112183,-0.8086647987365723,-0.8019327521324158,-0.8062740564346313]",2025-04-25T22:14:38.000Z
